feature1,feature2,spearman_r,abs_r
MDVP:RAP,MDVP:APQ,0.7186739326767578,0.7186739326767578
Jitter:DDP,MDVP:APQ,0.7183756504626817,0.7183756504626817
MDVP:APQ,PPE,0.7182590386474385,0.7182590386474385
MDVP:RAP,Shimmer:APQ3,0.7160251559238698,0.7160251559238698
MDVP:RAP,Shimmer:DDA,0.7159921474518435,0.7159921474518435
Jitter:DDP,spread1,0.7156646677973403,0.7156646677973403
Jitter:DDP,Shimmer:APQ3,0.7156014973729702,0.7156014973729702
Jitter:DDP,Shimmer:DDA,0.7155680857771971,0.7155680857771971
MDVP:RAP,spread1,0.715193320570579,0.715193320570579
MDVP:APQ,spread1,0.7131925905746725,0.7131925905746725
Jitter:DDP,PPE,0.7096214793922212,0.7096214793922212
MDVP:RAP,PPE,0.7092641133763778,0.7092641133763778
MDVP:Jitter(Abs),NHR,0.7020649929332526,0.7020649929332526
MDVP:Jitter(%),Shimmer:APQ3,0.6959673820455867,0.6959673820455867
MDVP:Jitter(%),Shimmer:DDA,0.6959113519615574,0.6959113519615574
MDVP:Jitter(%),Shimmer:APQ5,0.6941856974468289,0.6941856974468289
MDVP:Jitter(Abs),MDVP:APQ,0.6910364165783228,0.6910364165783228
MDVP:Jitter(Abs),MDVP:Shimmer(dB),0.6889180971434254,0.6889180971434254
MDVP:Shimmer(dB),PPE,0.6700546518458754,0.6700546518458754
MDVP:Shimmer,PPE,0.6679136559105231,0.6679136559105231
MDVP:Shimmer(dB),spread1,0.6645599662720577,0.6645599662720577
MDVP:Jitter(Abs),MDVP:Shimmer,0.6639012473280679,0.6639012473280679
MDVP:Shimmer,spread1,0.6611575798724746,0.6611575798724746
NHR,spread1,0.6592996297923723,0.6592996297923723
Shimmer:APQ5,PPE,0.6558901808355297,0.6558901808355297
spread2,PPE,0.6501103149874761,0.6501103149874761
spread1,spread2,0.6498036259705439,0.6498036259705439
Shimmer:APQ5,spread1,0.644768433141536,0.644768433141536
HNR,PPE,-0.6376280567738595,0.6376280567738595
NHR,PPE,0.6334098035697493,0.6334098035697493
MDVP:Jitter(Abs),Shimmer:APQ3,0.6286819320669728,0.6286819320669728
MDVP:Jitter(Abs),Shimmer:DDA,0.6286238051020423,0.6286238051020423
HNR,spread1,-0.6276845393192964,0.6276845393192964
Shimmer:APQ3,PPE,0.6250412190959193,0.6250412190959193
Shimmer:DDA,PPE,0.6249873561348657,0.6249873561348657
MDVP:Jitter(Abs),Shimmer:APQ5,0.6237080864318939,0.6237080864318939
MDVP:Jitter(Abs),HNR,-0.6235372344303719,0.6235372344303719
HNR,RPDE,-0.6215523798734403,0.6215523798734403
NHR,RPDE,0.618941959504166,0.618941959504166
Shimmer:APQ3,spread1,0.6186314736285394,0.6186314736285394
Shimmer:DDA,spread1,0.6185921893693219,0.6185921893693219
RPDE,spread1,0.5993526355823852,0.5993526355823852
MDVP:APQ,RPDE,0.589443726499317,0.589443726499317
RPDE,PPE,0.5792422599491819,0.5792422599491819
NHR,D2,0.5699977746804763,0.5699977746804763
MDVP:Fo(Hz),MDVP:Jitter(Abs),-0.5664482828037906,0.5664482828037906
MDVP:Shimmer,RPDE,0.5379686375349154,0.5379686375349154
MDVP:Jitter(Abs),RPDE,0.5345096869621463,0.5345096869621463
MDVP:Shimmer(dB),RPDE,0.5201970159125284,0.5201970159125284
Shimmer:APQ3,RPDE,0.5108521012581603,0.5108521012581603
Shimmer:DDA,RPDE,0.51062529890252,0.51062529890252
MDVP:APQ,spread2,0.510195411549977,0.510195411549977
Shimmer:APQ5,RPDE,0.5095498621530061,0.5095498621530061
HNR,D2,-0.4845635954619754,0.4845635954619754
spread2,D2,0.4843291218215296,0.4843291218215296
MDVP:PPQ,RPDE,0.48340755907437594,0.48340755907437594
MDVP:Jitter(%),RPDE,0.47803386728386243,0.47803386728386243
MDVP:Jitter(Abs),spread2,0.47307213376268864,0.47307213376268864
MDVP:Fhi(Hz),DFA,-0.4631083202511774,0.4631083202511774
MDVP:Jitter(%),spread2,0.46047449943695246,0.46047449943695246
MDVP:Flo(Hz),NHR,-0.45770306083601764,0.45770306083601764
MDVP:Shimmer(dB),spread2,0.45041752367740595,0.45041752367740595
RPDE,spread2,0.44940622497787464,0.44940622497787464
MDVP:Shimmer,spread2,0.4444300585232424,0.4444300585232424
MDVP:APQ,D2,0.4361854930149925,0.4361854930149925
MDVP:Shimmer(dB),D2,0.43353554716647413,0.43353554716647413
MDVP:Fo(Hz),PPE,-0.4312304779167813,0.4312304779167813
MDVP:PPQ,spread2,0.43087198308801705,0.43087198308801705
MDVP:Fo(Hz),spread1,-0.42585249801744646,0.42585249801744646
MDVP:RAP,RPDE,0.4256016807546612,0.4256016807546612
Jitter:DDP,RPDE,0.42526470307207415,0.42526470307207415
spread1,D2,0.4240771011021379,0.4240771011021379
MDVP:Shimmer,D2,0.4218667372312801,0.4218667372312801
MDVP:Fo(Hz),DFA,-0.420184822541229,0.420184822541229
NHR,spread2,0.41797755173247597,0.41797755173247597
D2,PPE,0.41482950039651073,0.41482950039651073
Shimmer:APQ5,D2,0.4097834803540543,0.4097834803540543
MDVP:Flo(Hz),MDVP:Jitter(Abs),-0.40792839786422647,0.40792839786422647
MDVP:Flo(Hz),MDVP:Jitter(%),-0.40666355930835585,0.40666355930835585
Shimmer:APQ3,spread2,0.40045105335122005,0.40045105335122005
Shimmer:DDA,spread2,0.40036770403144295,0.40036770403144295
Shimmer:APQ5,spread2,0.3995536409706855,0.3995536409706855
Shimmer:APQ3,D2,0.3894351275291458,0.3894351275291458
Shimmer:DDA,D2,0.38934775449083275,0.38934775449083275
Jitter:DDP,D2,0.3803049350232769,0.3803049350232769
MDVP:RAP,D2,0.3797994250986236,0.3797994250986236
MDVP:Flo(Hz),MDVP:PPQ,-0.3750749034460622,0.3750749034460622
HNR,spread2,-0.3742552777417313,0.3742552777417313
MDVP:Jitter(%),D2,0.3738976473132059,0.3738976473132059
MDVP:Fo(Hz),RPDE,-0.37385133276149474,0.37385133276149474
MDVP:Fhi(Hz),MDVP:Jitter(Abs),-0.3633148211309671,0.3633148211309671
MDVP:Flo(Hz),Jitter:DDP,-0.362131672409168,0.362131672409168
MDVP:Flo(Hz),MDVP:RAP,-0.3618855640834697,0.3618855640834697
MDVP:Flo(Hz),spread1,-0.35483985822719255,0.35483985822719255
MDVP:Flo(Hz),PPE,-0.35306607972292803,0.35306607972292803
MDVP:Flo(Hz),RPDE,-0.34859117318616584,0.34859117318616584
Jitter:DDP,spread2,0.34635826541403614,0.34635826541403614
MDVP:RAP,spread2,0.34605115219658156,0.34605115219658156
MDVP:PPQ,D2,0.3460004524061237,0.3460004524061237
MDVP:Fo(Hz),MDVP:Flo(Hz),0.32364013012024795,0.32364013012024795
MDVP:Jitter(Abs),DFA,0.3224520374394048,0.3224520374394048
MDVP:Flo(Hz),MDVP:APQ,-0.3061369486574963,0.3061369486574963
MDVP:Fo(Hz),MDVP:PPQ,-0.29822169951149574,0.29822169951149574
MDVP:Flo(Hz),MDVP:Shimmer(dB),-0.28224071512427584,0.28224071512427584
MDVP:Fo(Hz),MDVP:Jitter(%),-0.2697177297493129,0.2697177297493129
DFA,PPE,0.2681933677515415,0.2681933677515415
MDVP:Fhi(Hz),D2,0.2611500428878927,0.2611500428878927
MDVP:PPQ,DFA,0.25984850603787046,0.25984850603787046
MDVP:Fhi(Hz),PPE,-0.258712715855573,0.258712715855573
MDVP:Flo(Hz),HNR,0.2578889446341582,0.2578889446341582
MDVP:Fhi(Hz),spread1,-0.2563708750748515,0.2563708750748515
MDVP:Flo(Hz),MDVP:Shimmer,-0.25472810010650193,0.25472810010650193
MDVP:Fo(Hz),D2,0.25164349641521955,0.25164349641521955
MDVP:Jitter(Abs),D2,0.23228820828417437,0.23228820828417437
MDVP:Fo(Hz),MDVP:APQ,-0.22854851644012816,0.22854851644012816
MDVP:Fo(Hz),spread2,-0.2266698873059659,0.2266698873059659
MDVP:Fhi(Hz),RPDE,-0.22309472559840748,0.22309472559840748
MDVP:Flo(Hz),Shimmer:APQ5,-0.22061180941286604,0.22061180941286604
DFA,spread1,0.21108773406269724,0.21108773406269724
MDVP:Jitter(%),DFA,0.20854029000355884,0.20854029000355884
MDVP:Flo(Hz),Shimmer:APQ3,-0.20649317492999517,0.20649317492999517
MDVP:Flo(Hz),Shimmer:DDA,-0.20623785683076398,0.20623785683076398
RPDE,D2,0.20054378611079643,0.20054378611079643
DFA,spread2,0.20037393402303585,0.20037393402303585
MDVP:Fo(Hz),MDVP:RAP,-0.1969173302356927,0.1969173302356927
MDVP:Fo(Hz),Jitter:DDP,-0.19678152474446325,0.19678152474446325
DFA,D2,-0.19480004531550923,0.19480004531550923
Shimmer:APQ5,DFA,0.18676023263151853,0.18676023263151853
Shimmer:DDA,DFA,0.18524620542433998,0.18524620542433998
Shimmer:APQ3,DFA,0.18506127129364217,0.18506127129364217
MDVP:RAP,DFA,0.1835731748334301,0.1835731748334301
Jitter:DDP,DFA,0.18326850878609635,0.18326850878609635
MDVP:APQ,DFA,0.1758213658294662,0.1758213658294662
NHR,DFA,-0.1755384273041416,0.1755384273041416
MDVP:Shimmer,DFA,0.17235559990083504,0.17235559990083504
MDVP:Fo(Hz),MDVP:Shimmer(dB),-0.165024262888353,0.165024262888353
MDVP:Fo(Hz),MDVP:Shimmer,-0.164215778501059,0.164215778501059
MDVP:Shimmer(dB),DFA,0.1625051235376469,0.1625051235376469
MDVP:Fo(Hz),Shimmer:APQ3,-0.14484276864571388,0.14484276864571388
MDVP:Fo(Hz),Shimmer:DDA,-0.14473485102937428,0.14473485102937428
MDVP:Flo(Hz),spread2,-0.14460832211572908,0.14460832211572908
MDVP:Flo(Hz),D2,-0.13271617925520723,0.13271617925520723
MDVP:Fo(Hz),Shimmer:APQ5,-0.12978717033936754,0.12978717033936754
RPDE,DFA,-0.12889187395814788,0.12889187395814788
MDVP:Flo(Hz),DFA,0.12184531227241095,0.12184531227241095
MDVP:Fhi(Hz),MDVP:PPQ,-0.11784017671902704,0.11784017671902704
MDVP:Fhi(Hz),MDVP:APQ,-0.11649998341158982,0.11649998341158982
MDVP:Fhi(Hz),spread2,-0.11552708229907656,0.11552708229907656
MDVP:Fo(Hz),NHR,-0.10600149703714043,0.10600149703714043
MDVP:Fhi(Hz),MDVP:Jitter(%),-0.09783000989488157,0.09783000989488157
MDVP:Fhi(Hz),MDVP:Flo(Hz),0.09560601401543964,0.09560601401543964
MDVP:Fhi(Hz),Shimmer:APQ3,-0.09216568233211483,0.09216568233211483
MDVP:Fhi(Hz),Shimmer:DDA,-0.092123417089277,0.092123417089277
MDVP:Fhi(Hz),MDVP:Shimmer,-0.08528726675124727,0.08528726675124727
MDVP:Fhi(Hz),Jitter:DDP,-0.07017397633951858,0.07017397633951858
MDVP:Fhi(Hz),MDVP:RAP,-0.07015675541264738,0.07015675541264738
MDVP:Fhi(Hz),MDVP:Shimmer(dB),-0.06417614719169523,0.06417614719169523
MDVP:Fhi(Hz),NHR,0.05951083328324489,0.05951083328324489
MDVP:Fhi(Hz),Shimmer:APQ5,-0.05878002260943038,0.05878002260943038
MDVP:Fo(Hz),HNR,0.056720451860363494,0.056720451860363494
MDVP:Fhi(Hz),HNR,-0.021589603327453105,0.021589603327453105
HNR,DFA,0.009582611791742867,0.009582611791742867
